id,start_lat,start_lng,end_lat,end_lng
1,-6.18526200,106.70349400,-6.18309500,106.70963500
2,-6.15394900,106.91612200,-6.15331100,106.91836000
3,-6.31138000,106.79216600,-6.30860800,106.79606200
4,-6.32086600,106.82755400,-6.32125200,106.82754500
5,-6.21732100,106.71605500,-6.22138600,106.71326900
6,-6.17632800,106.74789400,-6.16664000,106.74790000
7,-6.23847200,106.98971100,-6.23795800,106.98713400
8,-6.37160300,106.88757200,-6.37063000,106.88783400
9,-6.18081600,106.71513600,-6.18194200,106.71877400
10,-6.19158800,106.85631300,-6.19040500,106.85800000
11,-6.24251700,106.75059000,-6.24760800,106.75355900
12,-6.30584300,106.85293800,-6.30807900,106.85202000
13,-6.32708300,106.81508800,-6.31061300,106.81168200
14,-6.14200300,106.63282400,-6.14109400,106.63210300
15,-6.31528500,106.74690300,-6.31090300,106.74109600
16,-6.16842100,106.84274100,-6.16392600,106.84491000
17,-6.26915300,106.77817600,-6.26467300,106.77927100
18,-6.18546700,106.83583600,-6.18718100,106.83774700
19,-6.19379600,106.85630900,-6.19397600,106.85628600
20,-6.14034300,106.79341900,-6.14183700,106.79595000
21,-6.20063100,106.89726800,-6.20257900,106.89841800
22,-6.20709400,106.84874300,-6.21143800,106.84623100
23,-6.16989900,106.76751800,-6.16784100,106.76913500
24,-6.20936000,106.82667600,-6.21396000,106.82666400
25,-6.21818600,106.90499600,-6.22108100,106.90988800
26,-6.20035700,106.64092900,-6.19817200,106.64051600
27,-6.22136800,106.84630900,-6.22425400,106.84242500
28,-6.24687700,106.84275100,-6.24945000,106.85077100
29,-6.13478000,106.70085400,-6.13193600,106.69993600
30,-6.22493700,106.58850000,-6.22485200,106.59156400
31,-6.17525500,106.83934700,-6.17096600,106.83804600
32,-6.18168400,106.73454600,-6.18475700,106.73355000
33,-6.31562800,106.86300800,-6.31931600,106.86498300
34,-6.23577100,106.65989400,-6.23272600,106.65164800
35,-6.25468500,106.59539800,-6.25548400,106.59705800
36,-6.29213200,106.81627900,-6.29337800,106.81412400
37,-6.15839600,106.86771300,-6.15721400,106.86659100
38,-6.17825100,106.75625500,-6.18949300,106.76747300
39,-6.18082800,106.82453300,-6.18059600,106.82816600
40,-6.30060800,106.98550500,-6.29314100,106.98460500
41,-6.29806100,106.70341200,-6.28526000,106.70354900
42,-6.14933900,106.82080300,-6.15506600,106.81831900
43,-6.19436900,106.89128000,-6.19546800,106.90075000
44,-6.16017400,106.90541800,-6.16117800,106.91055400
45,-6.22102000,106.83078000,-6.22109100,106.82786700
46,-6.30989600,106.88400500,-6.30962300,106.88366500
47,-6.16680100,106.79399100,-6.15817800,106.78442100
48,-6.31073200,106.72459700,-6.30301800,106.71620800
49,-6.23138300,106.82829800,-6.22873300,106.83296500
50,-6.33943700,106.86232500,-6.34235000,106.86087100
51,-6.31263500,106.90320800,-6.31750600,106.89969400
52,-6.19229400,106.80301100,-6.19021100,106.80374900
53,-6.42671300,106.80294800,-6.41568300,106.79663600
54,-6.32520700,106.83373500,-6.33077500,106.83528000
55,-6.19492400,106.75120400,-6.19523800,106.74738700
56,-6.21330800,106.81792300,-6.21039800,106.81761800
57,-6.28469800,106.79337800,-6.28301000,106.79122700
58,-6.35196600,106.73431300,-6.34955100,106.73361300
59,-6.21492900,106.87885400,-6.21969400,106.87756700
60,-6.21176500,106.87366300,-6.21225800,106.86783100
61,-6.35025100,106.73539600,-6.35609200,106.73384300
62,-6.12155800,106.90402000,-6.12357300,106.89956300
63,-6.22124100,106.93919400,-6.22454800,106.94043700
64,-6.12210800,106.88892400,-6.11574500,106.88522300
65,-6.20671500,107.02084500,-6.20392900,107.00548600
66,-6.18209500,106.81737300,-6.18451400,106.81127600
67,-6.23642100,106.85209900,-6.24042100,106.85543800
68,-6.27113200,106.72926900,-6.26264300,106.72903400
69,-6.41182300,106.86435300,-6.41802900,106.86349900
70,-6.24814000,107.01826600,-6.25057400,107.02062600
71,-6.24818700,106.79014300,-6.25144400,106.79151200
72,-6.21133700,106.85889100,-6.21053200,106.86139100
73,-6.27280800,106.79827100,-6.27024900,106.79753000
74,-6.30687400,106.97105500,-6.30963200,106.97216600
75,-6.21567800,106.82621800,-6.21555300,106.82809500
76,-6.36617800,106.95789300,-6.37732800,106.95560900
77,-6.38311400,106.84126800,-6.38474900,106.84047800
78,-6.24814800,106.87622600,-6.24332900,106.87567600
79,-6.16446700,106.79338500,-6.16845500,106.79507700
80,-6.25034500,106.87596300,-6.25065800,106.87788500
81,-6.26905600,106.97975400,-6.27337800,106.97856000
82,-6.28229000,106.91731400,-6.28232900,106.90880300
83,-6.19271600,106.77788700,-6.19338900,106.77614700
84,-6.21816900,106.92359300,-6.21539200,106.91909200
85,-6.14801400,106.84945300,-6.13760900,106.84280400
86,-6.24057300,106.83516000,-6.24169800,106.83883300
87,-6.27436200,107.01153800,-6.27494100,107.00562100
88,-6.31985700,106.79863700,-6.32301700,106.79483300
89,-6.18066700,106.73537700,-6.17143100,106.73153000
90,-6.24866200,106.91115700,-6.24553500,106.90956200
91,-6.34749800,106.67414000,-6.34029600,106.67760700
92,-6.15738100,106.84945800,-6.15762200,106.84554700
93,-6.35297700,106.86138200,-6.36594600,106.85947200
94,-6.22457600,106.85356000,-6.22493600,106.85535600
95,-6.18919300,106.78761300,-6.18580800,106.78618900
96,-6.28416800,106.71418000,-6.28625200,106.71642000
97,-6.16916900,106.78426400,-6.16346900,106.77292800
98,-6.25298500,107.09591200,-6.25307800,107.09169400
99,-6.30559100,106.88691600,-6.31005100,106.88750900
100,-6.24341100,106.91991500,-6.24758300,106.92021600
101,-6.18182100,106.90570400,-6.17706500,106.90440100
102,-6.28431100,106.95292400,-6.27752300,106.94460500
103,-6.13011200,106.65695300,-6.13090300,106.65543500
104,-6.10905500,106.89940600,-6.11233100,106.90118900
105,-6.29067100,106.77742600,-6.28918800,106.77506100
106,-6.14297500,106.86597200,-6.14183700,106.87128900
107,-6.22930900,106.70919100,-6.22080100,106.69872500
108,-6.24909100,106.79606300,-6.25270300,106.79206800
109,-6.28160800,106.99749800,-6.28413700,106.99443400
110,-6.26445400,106.78155500,-6.26896400,106.78078400
111,-6.20222700,106.82320000,-6.19469500,106.82254600
112,-6.17576900,106.62934100,-6.17793400,106.61836200
113,-6.28836200,106.95479600,-6.29271500,106.95946200
114,-6.27180600,106.95333400,-6.26461600,106.95538800
115,-6.24808200,106.94230700,-6.25023000,106.94547800
116,-6.49528400,106.81153600,-6.50044900,106.81040400
117,-6.24447700,106.99286400,-6.25067900,106.99176700
118,-6.14183400,106.80671200,-6.14200200,106.80318400
119,-6.24797600,106.81819300,-6.24445800,106.81597600
120,-6.16941400,106.90189500,-6.17277900,106.90380100
121,-6.17383500,106.78474900,-6.17540800,106.78669400
122,-6.28580400,106.74245200,-6.28764800,106.74220900
123,-6.40110600,106.85104800,-6.39511100,106.85429700
124,-6.20381100,106.84973000,-6.20964700,106.85043700
125,-6.28555800,106.85519500,-6.28277400,106.85521300
126,-6.20308200,106.76017900,-6.21710900,106.76401000
127,-6.35339000,106.80142300,-6.35628200,106.80101200
128,-6.40536300,106.97617600,-6.40451300,106.97624600
129,-6.19650000,106.75161200,-6.19354600,106.75083100
130,-6.11324600,106.88918300,-6.11400400,106.88814300
131,-6.26723800,106.86018000,-6.26964300,106.85889800
132,-6.17380800,106.83340900,-6.17794400,106.83164600
133,-6.15325900,106.71421400,-6.15517500,106.71947600
134,-6.25218100,106.80628200,-6.25713900,106.80521600
135,-6.25248900,106.80616000,-6.25709300,106.80519300
136,-6.23355900,106.98171300,-6.23134900,106.98229400
137,-6.17900800,106.99373500,-6.17834100,107.00101700
138,-6.22085000,106.79875100,-6.22642800,106.80242900
139,-6.23793700,106.85508200,-6.23550600,106.85690600
140,-6.25565800,106.84873700,-6.25564300,106.85287900
141,-6.23508000,106.59464900,-6.23225500,106.59422200
142,-6.12298000,106.90030200,-6.12384600,106.89913900
